,run,env,seed,eval_score
0,Ant-v5_3,Ant-v5,1789,1731.3979562
1,Ant-v5_2,Ant-v5,330,1843.6708334000002
2,Ant-v5_1,Ant-v5,912391,2578.019604
3,Ant-v5_5,Ant-v5,12,1968.1693264
4,Ant-v5_4,Ant-v5,1687123,1500.575893
8,HalfCheetah-v5_5,HalfCheetah-v5,12,3476.9690707999994
7,HalfCheetah-v5_3,HalfCheetah-v5,1789,1326.1365294
29,HalfCheetah-v5_4,HalfCheetah-v5,1687123,-0.3485388000000002
5,HalfCheetah-v5_2,HalfCheetah-v5,330,4066.373732
6,HalfCheetah-v5_1,HalfCheetah-v5,912391,1942.8131302000002
9,Hopper-v5_1,Hopper-v5,912391,1024.6616333999998
10,Hopper-v5_4,Hopper-v5,1687123,1044.6866276
11,Hopper-v5_3,Hopper-v5,1789,1022.5298444
12,Hopper-v5_5,Hopper-v5,12,1014.1762992
13,Hopper-v5_2,Hopper-v5,330,1052.4285764
17,Humanoid-v5_2,Humanoid-v5,330,314.9205726
18,Humanoid-v5_1,Humanoid-v5,912391,188.75919
15,Humanoid-v5_4,Humanoid-v5,1687123,312.46006939999995
16,Humanoid-v5_5,Humanoid-v5,12,316.5299698
14,Humanoid-v5_3,Humanoid-v5,1789,362.3918132
19,Swimmer-v5_3,Swimmer-v5,1789,152.0488848
20,Swimmer-v5_5,Swimmer-v5,12,307.5160012
21,Swimmer-v5_4,Swimmer-v5,1687123,352.6177964
22,Swimmer-v5_2,Swimmer-v5,330,154.1506702
23,Swimmer-v5_1,Swimmer-v5,912391,322.4028568
28,Walker2d-v5_2,Walker2d-v5,330,924.990949
24,Walker2d-v5_5,Walker2d-v5,12,2768.2195906
25,Walker2d-v5_3,Walker2d-v5,1789,2777.8996343999997
26,Walker2d-v5_4,Walker2d-v5,1687123,2847.5913628000003
27,Walker2d-v5_1,Walker2d-v5,912391,887.7929747999999
